DEPTH,DT,GR,LLD,LLS,PHIE,PHIT,RHOB,SW,TNPH,VWCL
1461.4,107.285,84.1033,7.813,4.416,0.138023,0.226269,2.2807,0.7812,0.398107,0.588
1461.5,109.271,82.125,9.662,5.424,0.134343,0.223836,2.2959,0.7047,0.413548,0.5963
1461.6,109.608,81.4178,9.931,5.6415,0.121285,0.213171,2.3089,0.7256,0.42383,0.6122
1461.7,109.945,82.0414,10.2,5.859,0.088037,0.184457,2.3209,0.7865,0.433913,0.6424
1461.8,108.929,82.4426,8.984,5.379,0.068576,0.168051,2.3085,0.8791,0.453449,0.6628
1461.9,107.956,82.1739,8.006,4.8885,0.049863,0.152849,2.2971,0.9564,0.48067,0.6862
1462.0,106.983,81.5583,7.028,4.398,0.037432,0.143308,2.3025,1.0,0.497452,0.7054
1462.1,105.187,81.0424,5.458,3.519,0.048407,0.151702,2.3015,1.0,0.489428,0.6882
1462.2,104.5765,81.531,5.049,3.2745,0.095875,0.191171,2.2755,1.0,0.460753,0.6349
1462.3,103.966,82.0451,4.64,3.03,0.155559,0.242982,2.2535,0.9881,0.429959,0.5825
1462.4,103.071,81.5662,4.518,2.966,0.169188,0.251378,2.2466,0.9451,0.411942,0.5476
1462.5,102.722,81.2373,4.715,3.091,0.161043,0.243356,2.2599,0.9445,0.40723,0.5484
1462.6,102.373,81.5676,4.912,3.216,0.139528,0.226686,2.2913,1.0,0.40946,0.5807
1462.7,102.297,82.1332,5.65,3.666,0.112603,0.205625,2.3237,1.0,0.414138,0.6198
1462.8,102.919,81.7497,6.0925,3.942,0.067303,0.166995,2.3719,1.0,0.421528,0.6642
1462.9,103.541,81.2515,6.535,4.218,0.038577,0.14416,2.4135,1.0,0.430007,0.7035
1463.0,106.526,81.6505,7.312,4.717,0.026804,0.135803,2.4302,0.9894,0.433513,0.7262
1463.1,108.6765,83.1576,7.6355,4.925,0.02123,0.132281,2.4202,0.9532,0.436437,0.7399
1463.2,110.827,84.5986,7.959,5.133,0.015897,0.129372,2.3955,0.9159,0.45003,0.7561
1463.3,115.016,85.1326,8.55,5.527,0.012427,0.127872,2.3659,0.8682,0.472982,0.7692
1463.4,116.128,85.1535,8.734,5.65,0.013497,0.12829,2.327,0.8618,0.493497,0.7648
1463.5,117.24,84.9482,8.918,5.773,0.015526,0.129194,2.3049,0.8586,0.503523,0.7573
1463.6,116.761,84.8947,8.8865,5.7105,0.017283,0.13007,2.2962,0.8657,0.505024,0.7515
1463.7,116.282,84.9316,8.855,5.648,0.021323,0.132336,2.2855,0.8781,0.50222,0.7397
1463.8,112.49,84.8546,8.214,5.082,0.027113,0.136008,2.2728,0.9281,0.500172,0.7255
1463.9,110.1465,82.5884,7.6145,4.673,0.042564,0.147172,2.2658,0.984,0.504481,0.697
1464.0,107.803,81.0202,7.015,4.264,0.044014,0.148285,2.2709,1.0,0.51348,0.6947
1464.1,104.478,82.1288,5.63,3.504,0.026648,0.135699,2.2928,1.0,0.514469,0.7266
1464.2,103.974,81.3726,5.078,3.2395,0.038195,0.143875,2.302,1.0,0.498352,0.7041
1464.3,103.47,79.0581,4.526,2.975,0.090112,0.18623,2.2952,1.0,0.473303,0.6404
1464.4,103.912,77.3455,3.853,2.668,0.133913,0.22417,2.3028,1.0,0.45205,0.6014
1464.5,104.025,77.7925,3.7125,2.612,0.130932,0.221553,2.3184,1.0,0.440897,0.6038
1464.6,104.138,78.1706,3.572,2.556,0.130437,0.220952,2.318,1.0,0.43775,0.6031
1464.7,103.263,77.1222,3.647,2.621,0.151845,0.237387,2.2886,1.0,0.438555,0.57
1464.8,102.5575,78.4504,3.859,2.735,0.169201,0.253121,2.2581,1.0,0.439223,0.5591
1464.9,101.852,80.2159,4.071,2.849,0.174538,0.258323,2.2441,0.9896,0.433037,0.5582
1465.0,101.399,80.5034,4.903,3.277,0.167027,0.249941,2.2538,0.908,0.420273,0.5524
