DEPTH,DT,GR,LLD,LLS,PHIE,PHIT,RHOB,SW,TNPH,VWCL
1412.59562,110.4211,94.9806,6.162,5.774,0.000102,0.170809,2.357,1.0,0.496892,0.8212
1412.74802,111.2277,92.0239,6.147,5.755,0.012795,0.172365,2.323,1.0,0.512145,0.7677
1412.90042,111.232,93.0211,6.164,5.768,0.0001,0.170554,2.379,1.0,0.512178,0.82
1413.05282,110.7342,95.0183,6.207,5.814,0.0001,0.178365,2.405,1.0,0.50055,0.8576
1413.20522,110.766,91.303,6.196,5.817,0.0001,0.178078,2.525,1.0,0.478915,0.8562
1413.35762,111.7836,81.98,6.0651,5.712,0.0001,0.150087,2.519,1.0,0.460142,0.7216
1413.51002,112.9939,87.4097,5.804,5.484,0.040722,0.186212,2.389,1.0,0.465126,0.6999
1413.66242,113.1977,95.6938,5.538,5.244,0.0001,0.169787,2.33,1.0,0.497481,0.8163
1413.81482,112.1031,98.3897,5.455,5.173,0.0001,0.188191,2.358,1.0,0.528459,0.9049
1413.96722,110.82,92.8024,5.564,5.292,0.0001,0.183724,2.446,1.0,0.533311,0.8834
1414.11962,110.906,86.2942,5.702,5.439,0.0001,0.166304,2.475,1.0,0.518138,0.7996
1414.27202,112.7764,90.1596,5.711,5.448,0.0001,0.165166,2.414,1.0,0.505126,0.7941
1414.42442,115.2634,93.3812,5.553,5.283,0.0001,0.171846,2.387,1.0,0.507671,0.8262
1414.57682,116.7039,96.211,5.344,5.062,0.0001,0.177242,2.34,1.0,0.51644,0.8522
1414.72922,116.1092,96.4169,5.259,4.955,0.0001,0.174206,2.318,1.0,0.512866,0.8376
1414.88162,113.7678,97.4961,5.37,5.035,0.0001,0.172109,2.311,1.0,0.488393,0.8275
1415.03402,110.998,98.4956,5.6399,5.2759,0.0001,0.173995,2.367,1.0,0.457955,0.8366
1415.18642,108.918,92.6341,5.999,5.6,0.010441,0.172192,2.43,1.0,0.445947,0.7782
1415.33882,107.4327,95.0639,6.3159,5.8789,0.000105,0.170651,2.425,1.0,0.451937,0.8205
1415.49122,105.6821,97.8668,6.494,6.025,0.0001,0.179733,2.403,1.0,0.461462,0.8642
1415.64362,103.2803,96.903,6.6361,6.1351,0.0001,0.180639,2.428,1.0,0.464327,0.8685
1415.79602,101.0853,97.034,6.869,6.337,0.0001,0.198117,2.565,1.0,0.455502,0.9526
1415.94842,100.8306,89.8857,7.089,6.557,0.0001,0.181546,2.806,1.0,0.442023,0.8729
1416.10082,103.5125,84.4051,7.096,6.596,0.0001,0.162497,2.605,1.0,0.438892,0.7813
1416.25322,108.3879,90.1664,6.8319,6.3649,0.000102,0.165382,2.503,1.0,0.449939,0.7951
1416.40562,113.7456,98.2499,6.4321,5.9821,0.010628,0.17219,2.2771,0.9918,0.458329,0.7772
1416.55802,118.1883,99.8699,6.08,5.643,0.023432,0.176047,2.214,1.0,0.457176,0.7342
1416.71042,121.0651,99.1382,5.8521,5.4301,0.027648,0.17822,2.2,1.0,0.456663,0.7244
1416.86282,122.347,101.3749,5.716,5.303,0.0225,0.175606,2.202,1.0,0.466983,0.7366
1417.01522,122.26,98.6431,5.671,5.256,0.015945,0.173071,2.204,1.0,0.484084,0.7559
1417.16762,121.092,95.6481,5.736,5.31,0.027752,0.178276,2.2,1.0,0.492662,0.7241
1417.32002,119.3018,91.3319,5.8949,5.4519,0.076632,0.212577,2.203,0.9938,0.489485,0.654
1417.47242,117.3622,90.3451,6.109,5.648,0.075043,0.211337,2.236,0.9784,0.48348,0.6557
1417.62482,115.5015,87.9548,6.3321,5.8521,0.083603,0.218055,2.271,0.9371,0.482727,0.6468
1417.77722,113.9372,90.8226,6.555,6.065,0.060187,0.20001,2.261,0.9747,0.477523,0.6727
1417.92962,113.0721,88.6983,6.756,6.27,0.101164,0.232127,2.266,0.8584,0.461011,0.63
1418.08202,113.3609,85.5706,6.863,6.394,0.124363,0.249041,2.291,0.7863,0.452312,0.5998
1418.23442,114.9604,85.0979,6.802,6.358,0.105323,0.235501,2.311,0.8442,0.469856,0.6263
1418.38682,117.3734,84.3982,6.5531,6.1381,0.09913,0.230482,2.273,0.8784,0.506422,0.6319
1418.53922,119.6001,88.5758,6.17,5.788,0.052361,0.194279,2.219,1.0,0.542168,0.6827
1418.69162,120.9436,86.9925,5.7951,5.4431,0.062008,0.20137,2.196,1.0,0.563564,0.6704
1418.84402,121.7681,90.232,5.555,5.229,0.028726,0.178815,2.216,1.0,0.560569,0.722
1418.99642,123.2014,90.169,5.437,5.136,0.026302,0.177497,2.254,1.0,0.5425,0.7274
1419.14882,125.9979,87.1941,5.332,5.055,0.058811,0.198988,2.247,1.0,0.532848,0.6744
1419.30122,129.4694,88.0916,5.1711,4.9121,0.063924,0.202811,2.213,1.0,0.537907,0.6682
1419.45362,131.6558,91.6877,4.987,4.738,0.045817,0.189663,2.163,1.0,0.545881,0.692
1419.60602,130.9411,90.4391,4.894,4.644,0.081229,0.216181,2.127,1.0,0.544817,0.6492
1419.75842,127.5675,90.8879,4.968,4.703,0.07705,0.212902,2.132,1.0,0.539822,0.6536
1419.91082,123.4374,88.8599,5.16,4.873,0.069003,0.206673,2.193,1.0,0.535681,0.6623
1420.06322,120.5466,88.2981,5.354,5.057,0.051578,0.193717,2.242,1.0,0.532037,0.6838
1420.21562,119.4559,90.2075,5.448,5.154,0.030731,0.17996,2.263,1.0,0.527334,0.7179
1420.36802,118.9931,93.3921,5.419,5.126,0.015475,0.172939,2.265,1.0,0.519174,0.7575
1420.52042,117.3366,93.6021,5.323,5.015,0.015297,0.17289,2.266,1.0,0.515966,0.7582
1420.67282,113.5673,94.6716,5.248,4.91,0.010301,0.172195,2.271,1.0,0.515813,0.7788
1420.82522,108.4279,94.9841,5.269,4.901,0.011452,0.17222,2.277,1.0,0.501864,0.7734
1420.97762,103.6319,96.6313,5.4269,5.0329,0.013202,0.17243,2.274,1.0,0.468891,0.766
1421.13002,100.5561,93.4121,5.783,5.356,0.044688,0.188886,2.293,1.0,0.440634,0.6937
1421.28242,99.8626,87.7776,6.5454,6.0724,0.090021,0.223156,2.327,0.9031,0.443476,0.6405
1421.43482,101.7808,77.639,7.6869,7.1779,0.072796,0.198409,2.397,0.8627,0.463274,0.6043
1421.58722,106.537,70.4222,8.5009,8.0069,0.022217,0.149458,2.481,0.9669,0.469188,0.6121
1421.73962,114.0048,63.7551,8.238,7.809,0.031558,0.148555,2.479,0.972,0.462037,0.5629
1421.89202,122.7375,66.2262,7.0207,6.6637,0.070321,0.182204,2.42,0.9165,0.462497,0.5382
1422.04442,129.9884,76.5747,5.6233,5.3093,0.079485,0.205439,2.386,1.0,0.480122,0.6059
1422.19682,133.4329,89.1312,4.671,4.3559,0.055852,0.196812,2.261,1.0,0.504507,0.6781
1422.34922,132.6642,97.0438,4.3481,4.0141,0.011135,0.17221,2.187,1.0,0.524813,0.7749
1422.50162,129.1857,94.9426,4.462,4.115,0.017948,0.173721,2.167,1.0,0.549048,0.7494
1422.65402,125.0754,90.3356,4.7129,4.3759,0.043286,0.187932,2.151,1.0,0.575321,0.6959
1422.80642,121.747,90.874,4.915,4.599,0.031195,0.180231,2.154,1.0,0.586357,0.717
1422.95882,119.8668,90.947,5.0799,4.7799,0.025625,0.177144,2.191,1.0,0.57341,0.7289
1423.11122,119.499,91.123,5.262,4.968,0.033354,0.18152,2.213,1.0,0.541846,0.7128
1423.26362,120.1412,88.7162,5.416,5.124,0.06948,0.20704,2.235,1.0,0.510461,0.6618
1423.41602,120.7599,92.2586,5.456,5.172,0.035802,0.183033,2.257,1.0,0.494068,0.7083
1423.56842,120.4637,92.7611,5.374,5.095,0.03175,0.180558,2.253,1.0,0.496546,0.7159
1423.72082,119.3222,96.7343,5.219,4.93,0.000105,0.164977,2.245,1.0,0.511132,0.7932
1423.87322,118.1419,96.6328,5.054,4.746,0.00011,0.164978,2.241,1.0,0.515426,0.7931
1424.02562,117.5501,90.9203,4.951,4.623,0.050914,0.193245,2.248,1.0,0.495863,0.6847
1424.17802,117.2699,91.9019,4.956,4.61,0.063625,0.202585,2.251,1.0,0.46511,0.6685
1424.33042,116.6642,91.3752,5.069,4.702,0.071917,0.208915,2.274,1.0,0.448955,0.6591
1424.48282,115.5069,91.2849,5.255,4.865,0.04361,0.188151,2.311,1.0,0.461316,0.6954
1424.63522,114.1935,89.5316,5.4559,5.0469,0.027445,0.178109,2.348,1.0,0.488989,0.7248
1424.78762,113.429,92.516,5.616,5.196,0.0001,0.165571,2.352,1.0,0.513811,0.7961
1424.94002,113.45,92.539,5.701,5.28,0.0001,0.166793,2.339,1.0,0.527248,0.8019
1425.09242,113.853,92.463,5.73,5.301,0.0001,0.16403,2.318,1.0,0.528962,0.7886
1425.24482,113.9999,91.5583,5.768,5.316,0.014613,0.17272,2.308,1.0,0.521422,0.7606
1425.39722,113.5431,98.6792,5.873,5.388,0.000102,0.17468,2.299,1.0,0.503934,0.8399
1425.54962,112.6908,98.1892,6.039,5.523,0.0001,0.172148,2.319,1.0,0.479756,0.8277
1425.70202,112.0101,99.0319,6.204,5.672,0.0001,0.169483,2.332,1.0,0.459393,0.8149
1425.85442,112.0001,95.7824,6.298,5.762,0.0001,0.162398,2.332,1.0,0.460984,0.7808
1426.00682,112.7048,97.8965,6.266,5.746,0.0001,0.173102,2.324,1.0,0.480969,0.8323
1426.15922,113.9533,93.7678,6.122,5.637,0.011449,0.17222,2.319,1.0,0.494554,0.7734
1426.31162,115.8954,92.3464,5.9241,5.475,0.0198,0.174428,2.307,1.0,0.495079,0.7439
1426.46402,118.9503,93.3088,5.683,5.27,0.015247,0.172877,2.299,1.0,0.499753,0.7583
1426.61642,123.0335,90.3361,5.3511,4.9801,0.025442,0.17705,2.289,1.0,0.520132,0.7294
1426.76882,127.049,90.597,4.962,4.629,0.022392,0.175556,2.264,1.0,0.539571,0.7368
1426.92122,129.384,93.3388,4.6511,4.3431,0.015249,0.172878,2.23,1.0,0.542779,0.7583
